tool	VeriAbs 1.5.1-2	VeriAbs 1.5.1-2	VeriAbs 1.5.1-2	VeriAbs 1.5.1-2
run set	SV-COMP24_unreach-call.Suite3a-LockAndKey-Parametric	SV-COMP24_unreach-call.Suite3a-LockAndKey-Parametric	SV-COMP24_unreach-call.Suite3a-LockAndKey-Parametric	SV-COMP24_unreach-call.Suite3a-LockAndKey-Parametric
../suite3a-lock-and-key-parametrizable/	status	cputime (s)	walltime (s)	memory (MB)
ccbse-refute1-100.yml	TIMEOUT	215.283934	201.0035190010094	9444.380672
ccbse-refute1-1000.yml	TIMEOUT	214.869301	201.01781539600051	9271.070720
ccbse-refute1-10000.yml	TIMEOUT	214.95401	201.01246723100485	9268.584448
ccbse-refute1-2000.yml	TIMEOUT	214.916645	201.01402716399753	9270.779904
ccbse-refute1-250.yml	TIMEOUT	215.092982	201.01692516100593	9269.559296
ccbse-refute1-3000.yml	TIMEOUT	214.613771	201.00898557899927	9269.874688
ccbse-refute1-500.yml	TIMEOUT	214.98314	201.01485871999466	9269.215232
ccbse-refute1-5000.yml	TIMEOUT	214.949256	201.014643884002	9270.169600
ccbse-refute1-77.yml	TIMEOUT	215.019771	201.02169026300544	9411.207168
ccbse-refute1-8000.yml	TIMEOUT	215.660652	201.0319479220052	9270.317056
ccbse-refute2-100.yml	TIMEOUT	212.778915	204.85452915899805	9286.987776
ccbse-refute2-1000.yml	OUT OF MEMORY	192.155068	179.95843171198794	9108.983808
ccbse-refute2-10000.yml	OUT OF MEMORY	192.291829	182.05502055800753	9135.099904
ccbse-refute2-2000.yml	OUT OF MEMORY	191.505244	180.2640879279934	9200.009216
ccbse-refute2-250.yml	OUT OF MEMORY	187.964383	177.31652624699927	9021.538304
ccbse-refute2-3000.yml	OUT OF MEMORY	192.825949	182.47542035899824	9224.949760
ccbse-refute2-37.yml	OUT OF MEMORY	184.972105	172.0135574790038	9182.474240
ccbse-refute2-500.yml	OUT OF MEMORY	186.651343	174.37137856300978	9167.863808
ccbse-refute2-5000.yml	TIMEOUT	214.71925	201.0182172019995	9410.949120
ccbse-refute2-8000.yml	TIMEOUT	214.753459	201.01925082100206	9289.265152
godfroid-issta-1a-100.yml	false(unreach-call)	150.685932	129.95291700599773	876.294144
godfroid-issta-1a-1000.yml	TIMEOUT	222.826201	201.01580060800188	1204.772864
godfroid-issta-1a-10000.yml	TIMEOUT	215.415484	201.01028822100488	1022.459904
godfroid-issta-1a-2000.yml	TIMEOUT	221.986981	201.01781525599654	959.840256
godfroid-issta-1a-250.yml	TIMEOUT	224.911346	201.0130314650014	1691.136000
godfroid-issta-1a-3000.yml	TIMEOUT	215.607239	201.0112606890034	1037.574144
godfroid-issta-1a-50.yml	false(unreach-call)	132.622064	113.94951134800795	1036.099584
godfroid-issta-1a-500.yml	TIMEOUT	222.483022	201.01732240000274	1426.124800
godfroid-issta-1a-5000.yml	TIMEOUT	215.412706	201.01325981000264	1028.702208
godfroid-issta-1a-8000.yml	TIMEOUT	215.094346	201.01761361499666	1004.969984
godfroid-issta-1b-100.yml	false(unreach-call)	147.995376	128.58169242400618	1426.399232
godfroid-issta-1b-1000.yml	TIMEOUT	213.555246	201.0091407680011	826.077184
godfroid-issta-1b-10000.yml	TIMEOUT	213.517916	201.01104590100294	1150.160896
godfroid-issta-1b-2000.yml	TIMEOUT	221.608387	201.0125511369988	2558.648320
godfroid-issta-1b-250.yml	TIMEOUT	220.591831	201.02014419199259	2116.870144
godfroid-issta-1b-30.yml	false(unreach-call)	103.907308	87.54935431000195	814.166016
godfroid-issta-1b-3000.yml	TIMEOUT	213.927554	201.0131509910134	1150.554112
godfroid-issta-1b-500.yml	TIMEOUT	224.58826	201.01958455500426	3492.089856
godfroid-issta-1b-5000.yml	TIMEOUT	212.874383	201.0156433469965	1150.287872
godfroid-issta-1b-8000.yml	TIMEOUT	213.572601	201.0206299660058	1150.394368
lese10.yml	false(unreach-call)	12.042208	4.496793095997418	254.001152
lese100.yml	false(unreach-call)	67.383723	54.76558861299418	1315.328000
lese1000.yml	TIMEOUT	226.889119	201.0099001100025	4398.669824
lese100000.yml	TIMEOUT	226.968107	201.021579466993	4404.092928
lese250.yml	TIMEOUT	226.636388	201.01660413599166	4391.911424
lese2500.yml	TIMEOUT	227.014215	201.02192143000138	4344.184832
lese50.yml	false(unreach-call)	20.362433	9.867346551007358	390.017024
lese500.yml	TIMEOUT	225.926425	201.01739860899397	4094.959616
lese5000.yml	TIMEOUT	226.396504	201.01617637299933	4171.882496
lese8000.yml	TIMEOUT	227.282471	201.01156911799626	4267.393024
